p	linkRatio	samplenum
10.5	0.6730462519936204	627	96.79744816586921
3.5	0.435303776683087	6090	54.53185550082102
8.9	0.6557550158394931	947	87.85850052798311
3.1	0.41525534987527896	7617	50.80097151109361
5.3	0.5099962278385515	2651	65.72048283666541
5.5	0.547111283443195	2579	70.53974408685536
17.2	0.8067632850241546	207	137.2512077294686
9.6	0.6399521531100478	836	93.57177033492823
4.8	0.49771967163271513	3289	63.17968987534205
1.8	0.3147487514014881	19622	38.69758434410356
7.9	0.616504854368932	1236	84.00566343042071
3.7	0.43781725888324874	5516	56.170413343002174
3.9	0.4598377281947262	4930	57.03610547667343
2.3	0.35267410542516353	12995	44.0454020777222
2.4	0.36620535344327504	12067	45.33488025192674
5.9	0.5439130434782609	2300	69.4504347826087
7.0	0.5862477771191464	1687	76.51511558980438
7.5	0.6097212294496068	1399	80.51107934238742
4.0	0.4715634837355719	4765	57.068415529905565
6.9	0.583793738489871	1629	75.44260282381829
6.3	0.5685417804478428	1831	73.50354997269251
6.8	0.5751357875678937	1657	76.21967410983706
2.1	0.3533042603153304	14905	42.11445823549145
29.8	0.94	50	209.48
8.0	0.6199829205807003	1171	82.40307429547396
4.2	0.4798482693219535	4218	59.04220009483167
5.4	0.5265917602996255	2670	66.11198501872659
6.6	0.5659276546091015	1714	75.49591598599767
8.2	0.6294896030245747	1058	85.60018903591683
10.4	0.6534090909090909	704	96.2840909090909
7.1	0.5796915167095116	1556	78.42544987146529
7.6	0.6310751104565537	1358	81.61487481590575
5.1	0.5204903677758319	2855	65.59509632224169
3.2	0.414593467685893	7195	51.41695621959694
4.6	0.48679141441937257	3634	61.07044578976335
5.7	0.5386523356758991	2419	70.65068210004134
10.0	0.6726519337016574	724	97.2196132596685
9.0	0.6475770925110133	908	87.8898678414097
3.8	0.45903500473036896	5285	56.21438032166509
49.7	0.875	8	235.625
267.0	1.0	1	481.0
72.5	1.0	4	297.75
6.4	0.5804597701149425	1914	73.45872518286312
20.6	0.8760330578512396	121	153.67768595041323
13.2	0.7946859903381642	414	114.72463768115942
56.6	0.8571428571428571	7	252.0
16.6	0.8153153153153153	222	134.1081081081081
17.0	0.7871287128712872	202	129.53960396039605
53.2	1.0	8	236.75
32.2	0.9772727272727273	44	209.04545454545453
41.7	1.0	19	248.42105263157896
20.0	0.8563218390804598	174	149.05747126436782
31.7	0.9310344827586207	29	219.9655172413793
13.7	0.7603092783505154	388	113.61340206185567
82.0	1.0	1	495.0
14.7	0.75	308	119.89935064935065
38.4	0.92	25	218.16
12.7	0.7342342342342343	444	111.01351351351352
37.3	0.9615384615384616	26	219.23076923076923
43.0	0.9130434782608695	23	213.65217391304347
14.5	0.7583333333333333	360	118.91666666666667
7.2	0.5932203389830508	1416	78.71822033898304
12.3	0.693446088794926	473	106.26215644820296
10.1	0.6200527704485488	758	95.9934036939314
24.3	0.8048780487804879	82	159.14634146341464
61.3	1.0	1	308.0
15.4	0.7969924812030075	266	124.71804511278195
23.3	0.9072164948453608	97	160.90721649484536
62.9	0.75	4	293.25
22.9	0.897196261682243	107	172.65420560747663
17.5	0.8349514563106796	206	143.24757281553397
11.1	0.7027027027027027	592	101.80912162162163
8.4	0.637546468401487	1076	85.5139405204461
44.3	0.8947368421052632	19	241.1578947368421
19.0	0.7960526315789473	152	146.07236842105263
26.4	0.8870967741935484	62	184.16129032258064
38.9	1.0	12	203.08333333333334
42.7	1.0	16	226.25
13.3	0.7774798927613941	373	114.63538873994638
11.0	0.7229508196721312	610	103.14098360655737
12.8	0.757847533632287	446	116.02690582959642
87.3	0.5	2	318.0
25.0	0.8611111111111112	72	168.15277777777777
16.4	0.8298755186721992	241	131.66390041493776
8.8	0.6652892561983471	968	87.39876033057851
29.0	0.921875	64	201.40625
30.5	0.8809523809523809	42	193.02380952380952
85.4	1.0	2	333.0
32.9	0.9333333333333333	45	190.9777777777778
40.5	0.8846153846153846	26	203.26923076923077
18.4	0.8333333333333334	186	147.59677419354838
18.7	0.78	150	138.04666666666665
25.4	0.8313253012048193	83	163.49397590361446
11.6	0.7298245614035088	570	103.50877192982456
6.7	0.5527401296405421	1697	74.13258691809075
31.8	0.9714285714285714	35	206.94285714285715
43.5	0.9166666666666666	12	216.66666666666666
10.9	0.6852713178294574	645	98.8232558139535
12.2	0.7483731019522777	461	105.99783080260303
7.3	0.5981894150417827	1436	78.96935933147633
17.6	0.7857142857142857	182	138.1098901098901
16.5	0.819327731092437	238	132.07563025210084
41.6	0.9565217391304348	23	265.2608695652174
23.1	0.8888888888888888	108	170.09259259259258
28.5	0.8888888888888888	54	179.5
17.7	0.7815533980582524	206	134.0097087378641
11.7	0.7170542635658915	516	110.72286821705427
52.2	1.0	11	269.90909090909093
11.3	0.6974789915966386	595	102.78655462184874
12.1	0.7288135593220338	472	109.9322033898305
