p	linkRatio	samplenum
6.0	0.04891674615070173	7339
6.9	0.1830238726790451	1131
13.7	0.12690355329949238	197
19.8	0.5925925925925926	27
0.0	3.150466269007813e-06	952240
10.5	0.19242902208201892	317
7.8	0.10351826792963464	1478
10.0	0.1051567239635996	989
12.2	0.22171945701357465	221
9.0	0.09507754551584625	1483
10.6	0.27530364372469635	247
11.8	0.26609442060085836	233
7.6	0.15885167464114833	1045
24.8	0.6666666666666666	12
6.4	0.11354961832061068	2096
14.0	0.20175438596491227	228
16.0	0.21428571428571427	154
12.6	0.2524271844660194	103
8.0	0.07186112232539363	2477
11.0	0.1310452418096724	641
11.6	0.32051282051282054	156
11.4	0.28846153846153844	156
8.6	0.19173553719008266	605
10.4	0.2324561403508772	228
76.0	1.0	2
7.4	0.13691026827012026	1081
7.2	0.09554455445544555	2020
13.8	0.1926605504587156	109
10.2	0.183585313174946	463
11.2	0.18596491228070175	285
12.8	0.26380368098159507	163
12.4	0.26126126126126126	111
9.5	0.1748971193415638	486
15.5	0.3384615384615385	65
18.1	0.6666666666666666	15
6.7	0.05802816901408451	3550
7.9	0.1949685534591195	636
7.1	0.18253968253968253	1008
8.3	0.09615384615384616	1508
10.3	0.10756302521008404	595
12.0	0.14390243902439023	410
23.3	0.5	26
9.6	0.18361581920903955	354
15.0	0.18994413407821228	179
11.1	0.3643410852713178	129
21.4	0.6666666666666666	9
13.0	0.14749262536873156	339
12.1	0.32926829268292684	82
10.1	0.3076923076923077	208
19.0	0.2542372881355932	59
32.8	1.0	3
11.7	0.14814814814814814	351
25.7	0.47058823529411764	17
13.3	0.16326530612244897	196
16.7	0.34782608695652173	92
15.6	0.5555555555555556	36
20.4	0.5	16
28.1	1.0	3
14.1	0.5833333333333334	36
75.9	1.0	1
16.4	0.6551724137931034	29
21.1	0.8461538461538461	13
14.4	0.45	60
12.3	0.1482758620689655	290
15.1	0.5925925925925926	27
13.9	0.48936170212765956	47
9.7	0.11577608142493638	786
21.3	0.4722222222222222	36
10.7	0.13894324853228962	511
10.8	0.21910112359550563	356
14.8	0.2891566265060241	83
11.5	0.24742268041237114	194
53.3	1.0	4
10.9	0.3037974683544304	158
20.9	1.0	4
16.1	0.6956521739130435	23
9.9	0.25688073394495414	218
22.3	0.4411764705882353	34
11.3	0.15456674473067916	427
14.3	0.14788732394366197	142
16.2	0.417910447761194	67
14.2	0.2222222222222222	99
22.0	0.5142857142857142	35
17.3	0.3493975903614458	83
24.7	0.38461538461538464	13
15.2	0.4235294117647059	85
26.0	0.6818181818181818	22
33.6	1.0	3
16.5	0.358974358974359	39
17.7	0.296875	64
24.6	0.8333333333333334	6
12.9	0.46774193548387094	62
27.2	0.8571428571428571	7
27.4	0.8571428571428571	7
13.2	0.21774193548387097	124
24.2	0.8333333333333334	12
33.7	0.4	5
24.0	0.5	28
61.0	1.0	2
12.5	0.23076923076923078	130
11.9	0.35789473684210527	95
14.5	0.35064935064935066	77
23.5	0.75	8
20.6	0.5789473684210527	19
18.8	0.59375	32
71.7	1.0	1
21.9	0.75	4
