p	linkRatio	samplenum
8.4	0.12655889145496535	2165
5.6	0.08589511754068715	5530
10.9	0.16682027649769585	1085
12.9	0.1986013986013986	715
7.4	0.1130932346011444	2971
10.3	0.14391691394658754	1348
20.3	0.27014218009478674	211
5.9	0.09408825978351373	4804
11.0	0.16042267050912584	1041
11.3	0.14843006660323502	1051
12.7	0.1601513240857503	793
9.7	0.14504881450488144	1434
16.1	0.19534883720930232	430
8.6	0.12678936605316973	1956
9.0	0.12827510917030568	1832
6.2	0.10092155540570914	4449
10.1	0.15860014892032762	1343
4.9	0.07776684010687666	7111
8.9	0.14367219917012447	1928
9.1	0.1192200557103064	1795
8.3	0.1269982238010657	2252
9.6	0.1503225806451613	1550
7.1	0.11121524523586379	3201
14.0	0.2109777015437393	583
6.9	0.09827278141751042	3358
14.9	0.20502901353965183	517
13.6	0.19462025316455697	632
8.2	0.133244798583444	2259
13.4	0.2065378900445765	673
13.8	0.2027491408934708	582
26.7	0.27631578947368424	76
6.8	0.1056701030927835	3492
11.9	0.18405627198124266	853
16.0	0.24040920716112532	391
10.5	0.1487138263665595	1244
13.0	0.18878248974008208	731
9.4	0.152	1625
13.7	0.19568567026194145	649
16.6	0.24433249370277077	397
8.5	0.11910669975186104	2015
16.7	0.21568627450980393	408
22.1	0.28	150
12.2	0.15432098765432098	810
14.5	0.21456692913385828	508
9.2	0.1417142857142857	1750
13.1	0.20989304812834225	748
15.8	0.23459715639810427	422
11.6	0.16421052631578947	950
12.5	0.16490765171503957	758
14.3	0.2078559738134206	611
15.4	0.2260127931769723	469
9.5	0.13189448441247004	1668
12.4	0.19950738916256158	812
15.9	0.21303258145363407	399
10.2	0.14798850574712644	1392
10.4	0.13902053712480253	1266
24.3	0.3963963963963964	111
10.8	0.1495246326707001	1157
27.6	0.4125	80
15.3	0.24347826086956523	460
17.1	0.22402597402597402	308
16.4	0.2598870056497175	354
13.5	0.19047619047619047	630
12.6	0.18274111675126903	788
17.9	0.23076923076923078	299
17.0	0.20485175202156333	371
16.3	0.2702020202020202	396
13.2	0.18865248226950354	705
24.1	0.35714285714285715	140
12.1	0.16976998904709747	913
